Machine Break : Load at Machine Break,5992,N
,,
Time,Extension,Load
(sec),(mm),(N)
0,0,2.68
0.1,0.011,2.68
0.2,0.0276,2.68
0.3,0.0443,2.68
0.4,0.0609,2.68
0.5,0.0776,2.68
0.6,0.0942,2.68
0.7,0.1109,2.68
0.8,0.1276,2.68
0.9,0.1443,2.68
1,0.1609,2.68
1.1,0.1776,2.68
1.2,0.1943,2.68
1.3,0.2109,2.68
1.4,0.2276,2.68
1.5,0.2443,2.68
1.6,0.2609,2.68
1.7,0.2776,2.68
1.8,0.2942,2.68
1.9,0.3109,2.68
2,0.3276,2.68
2.1,0.3443,2.68
2.2,0.361,2.68
2.3,0.3776,2.68
2.4,0.3943,2.68
2.5,0.4109,2.68
2.6,0.4276,2.68
2.7,0.4442,2.68
2.8,0.4609,5.36
2.9,0.4776,5.36
3,0.4943,2.68
3.1,0.5109,5.36
3.2,0.5276,5.36
3.3,0.5443,5.36
3.4,0.561,5.36
3.5,0.5776,8.05
3.6,0.5943,5.36
3.7,0.6109,8.05
3.8,0.6276,8.05
3.9,0.6442,8.05
4,0.6609,8.05
4.1,0.6776,8.05
4.2,0.6943,8.05
4.3,0.7109,8.05
4.4,0.7276,8.05
4.5,0.7443,8.05
4.6,0.761,8.05
4.7,0.7776,8.05
4.8,0.7943,10.73
4.9,0.8109,8.05
5,0.8276,8.05
5.1,0.8443,8.05
5.2,0.8609,8.05
5.3,0.8776,10.73
5.4,0.8943,10.73
5.5,0.911,10.73
5.6,0.9276,10.73
5.7,0.9443,10.73
5.8,0.961,10.73
5.9,0.9776,13.42
6,0.9943,13.42
6.1,1.0109,16.1
6.2,1.0276,16.1
6.3,1.0443,16.1
6.6,1.0943,16.1
6.7,1.111,16.1
6.8,1.1276,16.1
6.9,1.1443,16.1
7,1.161,16.1
7.1,1.1776,16.1
7.2,1.1943,16.1
7.3,1.2109,16.1
7.4,1.2276,16.1
7.5,1.2443,16.1
7.6,1.261,16.1
7.7,1.2776,16.1
7.8,1.2943,16.1
7.9,1.311,18.79
8,1.3276,21.47
8.1,1.3443,29.52
8.2,1.3609,67.11
8.3,1.3776,150.33
8.4,1.3943,276.50001
8.5,1.4109,437.56999
8.6,1.4276,622.81
8.7,1.4443,829.51002
8.8,1.461,1052.32997
8.9,1.4776,1280.52002
9,1.4943,1516.74999
9.1,1.511,1761.04996
9.2,1.5276,2016.07998
9.3,1.5443,2273.78998
9.4,1.5609,2536.88004
9.5,1.5776,2810.70005
9.6,1.5943,3092.57004
9.7,1.611,3379.81991
9.8,1.6276,3669.74995
9.9,1.6443,3959.67998
10,1.661,4252.28998
10.1,1.6777,4542.22001
10.2,1.6943,4832.15004
10.3,1.711,5111.34006
10.4,1.7276,5382.4801
10.5,1.7443,5632.14011
10.6,1.7609,5817.37012
10.7,1.7776,5951.60015
10.8,1.7943,6050.92011
10.9,1.811,6150.25014
11,1.8276,6244.21015
11.1,1.8443,6340.85014
11.2,1.861,6440.1798
11.3,1.8777,6536.81979
11.4,1.8943,6638.83984
11.5,1.911,6735.47983
11.6,1.9276,6832.11982
11.7,1.9443,6926.07984
11.8,1.961,7020.03986
11.9,1.9776,7111.31021
12,1.9943,7202.59026
12.1,2.011,7291.1799
12.2,2.0277,7379.77028
12.3,2.0443,7462.99028
12.4,2.061,7548.89026
12.5,2.0777,7632.11027
12.6,2.0943,7712.6503
12.7,2.111,7793.1799
12.8,2.1276,7873.71993
12.9,2.1443,7951.5703
13,2.161,8032.11033
13.1,2.1776,8107.2703
13.2,2.1943,8182.43995
13.3,2.211,8257.61035
13.4,2.2277,8330.09034
13.5,2.2443,8405.26
13.6,2.261,8477.73999
13.7,2.2777,8544.85035
13.8,2.2943,8617.33034
13.9,2.311,8687.13036
14,2.3276,8754.24966
14.1,2.3443,8821.36002
14.2,2.361,8888.46964
14.3,2.3777,8952.90002
14.4,2.3943,9020.00964
14.5,2.411,9084.44002
14.6,2.4277,9146.18969
14.7,2.4443,9207.92967
14.8,2.461,9272.36006
14.9,2.4776,9331.42006
15,2.4943,9390.48007
15.1,2.511,9452.22005
15.2,2.5276,9508.60009
15.3,2.5443,9567.66009
15.4,2.561,9626.7201
15.5,2.5777,9685.78011
15.6,2.5943,9739.46974
15.7,2.611,9798.52974
15.8,2.6277,9852.22012
15.9,2.6443,9905.90975
16,2.661,9964.96975
16.1,2.6776,10018.66013
16.2,2.6943,10066.98012
16.3,2.711,10126.04013
16.4,2.7276,10179.72976
16.5,2.7443,10233.42013
16.6,2.761,10281.74013
16.85,2.8027,10410.60016
16.95,2.8193,10464.28978
17.05,2.836,10517.98016
17.15,2.8527,10566.30015
17.25,2.8693,10619.98978
17.35,2.886,10668.30978
17.45,2.9026,10716.6402
17.55,2.9193,10764.9602
17.65,2.936,10813.28019
17.75,2.9527,10861.60019
17.85,2.9694,10909.92019
17.95,2.986,10958.24018
18.05,3.0027,11006.56986
18.15,3.0193,11049.52022
18.25,3.036,11097.84022
18.35,3.0526,11146.16022
18.45,3.0693,11194.48021
18.55,3.086,11237.44026
18.65,3.1027,11280.38988
18.75,3.1193,11323.34024
18.85,3.136,11371.66023
18.95,3.1527,11419.98023
19.05,3.1694,11462.94028
19.15,3.186,11489.78025
19.25,3.2027,11554.20989
19.35,3.2193,11602.52988
19.45,3.236,11634.74992
19.55,3.2526,11672.3299
19.65,3.2693,11709.90989
19.75,3.286,11736.76029
19.85,3.3027,11822.66027
19.95,3.3193,11865.60988
20.05,3.336,11892.46029
20.15,3.3527,11887.08991
20.25,3.3694,11940.78028
20.35,3.386,12037.42027
20.45,3.4027,11994.46991
20.55,3.4193,12080.38032
20.65,3.436,12134.06995
20.75,3.4527,12171.64993
20.85,3.4693,12193.12996
20.95,3.486,12219.96993
21.05,3.5027,12262.92998
21.15,3.5194,12316.62035
21.25,3.536,12354.20033
21.35,3.5527,12418.62997
21.45,3.5694,12450.84032
21.55,3.586,12493.78994
21.65,3.6027,12488.42999
21.75,3.6193,12515.27071
21.85,3.636,12558.22033
21.95,3.6527,12585.07073
22.05,3.6693,12628.02035
22.15,3.686,12665.59958
22.25,3.7027,12713.93001
22.35,3.7194,12756.87963
22.45,3.736,12772.98927
22.55,3.7527,12858.89
22.65,3.7694,12891.10929
22.75,3.786,12950.15961
22.85,3.8027,13014.59074
22.95,3.8193,12934.06039
23.05,3.836,12928.69002
23.15,3.8527,12977.01001
23.25,3.8694,13014.59074
23.35,3.886,13057.5493
23.45,3.9027,13095.13003
23.55,3.9193,13132.70926
23.65,3.936,13170.30042
23.75,3.9527,13213.25004
23.85,3.9693,13223.98931
23.95,3.986,13299.14927
24.05,4.0027,13358.21003
24.15,4.0193,13438.74931
24.25,4.036,13470.95966
24.35,4.0526,13433.38042
24.45,4.0694,13379.69005
24.55,4.086,13428.01005
24.65,4.1026,13460.22934
24.75,4.1194,13487.06931
24.85,4.136,13519.29009
24.95,4.1527,13551.50044
25.05,4.1693,13578.34041
25.15,4.186,13615.93008
25.25,4.2027,13658.8797
25.35,4.2193,13701.82931
25.45,4.236,13717.94045
25.55,4.2527,13776.99971
25.65,4.2693,13862.90044
25.75,4.2861,13900.49011
25.85,4.3027,13948.8101
25.95,4.3193,13734.0501
26.05,4.336,13830.69009
26.15,4.3527,13879.01008
26.25,4.3693,13911.22937
26.35,4.386,13932.70046
26.45,4.4026,13964.91975
26.55,4.4194,14002.50047
26.65,4.436,14034.70933
26.75,4.4526,14066.93012
26.85,4.4694,14066.93012
27.15,4.5194,14195.7894
27.25,4.536,14211.8901
27.35,4.5527,14254.85015
27.45,4.5693,14330.01012
27.55,4.586,14330.01012
27.65,4.6027,14389.06938
27.75,4.6193,14319.26936
27.85,4.6361,14222.62937
27.95,4.6527,14265.58048
28.05,4.6693,14308.54052
28.15,4.6861,14346.11976
28.25,4.7027,14378.33011
28.35,4.7193,14405.18051
28.45,4.736,14432.02943
28.55,4.7527,14464.23978
28.65,4.7694,14501.8205
28.75,4.786,14539.41017
28.85,4.8026,14582.35979
28.95,4.8194,14630.67979
29.05,4.836,14657.53019
29.15,4.8526,14646.78943
29.25,4.8694,14689.74054
29.35,4.886,14764.90945
29.45,4.9027,14797.1198
29.55,4.9194,14797.1198
29.65,4.936,14797.1198
29.75,4.9527,14657.53019
29.85,4.9693,14705.85018
29.95,4.9861,14743.42942
30.05,5.0027,14759.54056
30.15,5.0193,14786.38053
30.25,5.0361,14813.22944
30.35,5.0527,14840.06941
30.45,5.0693,14872.29019
30.55,5.086,14909.86943
30.65,5.1027,14936.71983
30.75,5.1194,14958.18943
30.85,5.136,14942.09021
30.95,5.1527,15038.7302
31.05,5.1694,15006.50942
31.15,5.186,15044.10058
31.25,5.2026,15065.57018
31.35,5.2194,15060.1998
31.45,5.236,15092.42058
31.55,5.2527,15103.15984
31.65,5.2694,15162.2206
31.75,5.286,15215.90948
31.85,5.3027,15189.06057
31.95,5.3193,15146.10946
32.05,5.3361,15092.42058
32.15,5.3527,15103.15984
32.25,5.3693,15135.37019
32.35,5.3861,15167.58949
32.45,5.4027,15199.79984
32.55,5.4193,15226.65024
32.65,5.4361,15253.49021
32.75,5.4527,15264.22948
32.85,5.4694,15280.34061
32.95,5.486,15301.8102
33.05,5.5027,15323.29023
33.15,5.5194,15344.77025
33.25,5.536,15366.23985
33.35,5.5526,15393.09025
33.45,5.5694,15430.66949
33.55,5.586,15462.87984
33.65,5.6028,15489.73024
33.75,5.6194,15457.51989
33.85,5.636,15468.25022
33.95,5.6527,15500.46951
34.05,5.6694,15516.57021
34.15,5.686,15521.94059
34.25,5.7027,15607.85025
34.35,5.7193,15688.3806
34.45,5.7361,15725.97027
34.55,5.7527,15779.66064
34.65,5.7693,15688.3806
34.75,5.7861,15554.15988
34.85,5.8027,15478.98948
34.95,5.8194,15516.57021
35.05,5.8361,15559.53026
35.15,5.8527,15586.37023
35.25,5.8694,15602.47988
35.35,5.886,15613.22063
35.45,5.9027,15623.9599
35.55,5.9194,15640.0606
35.65,5.936,15656.17025
35.75,5.9528,15677.65027
35.85,5.9694,15704.49024
35.95,5.986,15720.59989
36.05,6.0027,15736.70954
36.15,6.0194,15736.70954
36.25,6.036,15758.18062
36.35,6.0527,15790.39991
36.45,6.0694,15827.98064
36.55,6.0861,15854.82955
36.65,6.1027,15887.0399
36.75,6.1193,15892.41028
36.85,6.1361,15742.07991
36.95,6.1527,15854.82955
37.05,6.1694,15929.98952
37.15,6.1861,15897.78066
37.45,6.236,15908.51992
37.55,6.2527,15924.62063
37.65,6.2694,15940.73027
37.75,6.286,15956.83992
37.85,6.3028,15972.94062
37.95,6.3194,15983.67989
38.05,6.336,15999.78954
38.15,6.3528,16015.90067
38.25,6.3694,16021.26956
38.35,6.386,16042.74064
38.45,6.4027,16064.22067
38.55,6.4194,16080.33031
38.65,6.4361,16101.79991
38.75,6.4527,16112.54066
38.85,6.4693,16117.90955
38.95,6.4861,16091.06064
39.05,6.5027,16026.63994
39.15,6.5195,15946.10065
39.25,6.5361,15983.67989
39.35,6.5527,16021.26956
39.45,6.5694,16069.58956
39.55,6.5861,16112.54066
39.65,6.6027,16144.74952
39.75,6.6194,16171.59992
39.85,6.636,16209.18065
39.95,6.6528,16252.1407
40.05,6.6694,16268.23992
40.15,6.686,16273.61029
40.25,6.7028,16284.34956
40.35,6.7194,16305.82958
40.45,6.736,16316.55991
40.55,6.7528,16327.30067
40.65,6.7694,16338.03993
40.75,6.7861,16343.41031
40.85,6.8027,16338.03993
40.95,6.8194,16338.03993
41.05,6.8361,16327.30067
41.15,6.8527,16311.19996
41.25,6.8693,16300.4607
41.35,6.8861,16284.34956
41.45,6.9027,16273.61029
41.55,6.9194,16268.23992
41.65,6.9361,16257.50959
41.75,6.9527,16246.77032
41.85,6.9694,16187.70957
41.95,6.9861,16198.45033
42.05,7.0028,16198.45033
42.15,7.0194,16230.66068
42.25,7.036,16268.23992
42.35,7.0528,16311.19996
42.45,7.0694,16348.78069
42.55,7.086,16380.98955
42.65,7.1028,16413.21033
42.75,7.1194,16434.67993
42.85,7.1361,16456.15995
42.95,7.1527,16477.63997
43.05,7.1694,16488.3703
43.15,7.1861,16493.74068
43.25,7.2027,16499.10957
43.35,7.2194,16504.47994
43.45,7.2361,16515.2207
43.55,7.2527,16520.58959
43.65,7.2695,16531.33035
43.75,7.2861,16542.06961
43.85,7.3027,16547.42956
43.95,7.3194,16558.17032
44.05,7.3361,16563.5407
44.15,7.3528,16563.5407
44.25,7.3694,16574.27996
44.35,7.386,16574.27996
44.45,7.4028,16574.27996
44.55,7.4194,16493.74068
44.65,7.436,16644.07998
44.75,7.4528,16595.75999
44.85,7.4694,16568.90959
44.95,7.4861,16558.17032
45.05,7.5028,16563.5407
45.15,7.5194,16552.79994
45.25,7.5361,16493.74068
45.35,7.5527,16504.47994
45.45,7.5694,16493.74068
45.55,7.5861,16515.2207
45.65,7.6027,16542.06961
45.75,7.6195,16574.27996
45.85,7.6361,16595.75999
45.95,7.6527,16622.59996
46.05,7.6695,16644.07998
46.15,7.6861,16660.18069
46.25,7.7028,16676.29033
46.35,7.7194,16687.0296
46.45,7.7361,16697.77036
46.55,7.7528,16687.0296
46.65,7.7694,16703.14074
46.75,7.786,16896.42072
46.85,7.8028,16778.3007
46.95,7.8194,16740.71997
47.05,7.8361,16746.09035
47.15,7.8528,16756.82962
47.25,7.8693,16762.2
47.35,7.886,16772.93032
47.45,7.9028,16767.57038
47.75,7.9527,16778.3007
47.85,7.9695,16778.3007
47.95,7.986,16783.66959
48.05,8.0027,16789.03997
48.15,8.0195,16783.66959
48.25,8.036,16789.03997
48.35,8.0527,16789.03997
48.45,8.0694,16783.66959
48.55,8.0859,16778.3007
48.65,8.1027,16772.93032
48.75,8.1194,16767.57038
48.85,8.1359,16756.82962
48.95,8.1527,16751.46073
49.05,8.1694,16746.09035
49.15,8.1862,16740.71997
49.25,8.2027,16746.09035
49.35,8.2194,16724.61033
49.45,8.2361,16692.39998
49.55,8.2526,16703.14074
49.65,8.2694,16676.29033
49.75,8.2861,16687.0296
49.85,8.3026,16708.50962
49.95,8.3194,16729.98071
50.05,8.3361,16762.2
50.15,8.3526,16772.93032
50.25,8.3694,16772.93032
50.35,8.3861,16799.78073
50.45,8.4026,16826.62964
50.55,8.4193,16821.25926
50.65,8.4361,16944.74071
50.75,8.4528,17019.90962
50.85,8.4693,16864.21037
50.95,8.4861,16874.94963
51.05,8.5028,16885.67996
51.15,8.5193,16896.42072
51.25,8.536,16912.53036
51.35,8.5528,16923.26963
51.45,8.5693,16934.01039
51.55,8.586,16939.37927
51.65,8.6028,16944.74071
51.75,8.6193,16944.74071
51.85,8.636,16950.1096
51.95,8.6528,16955.47998
52.05,8.6695,16960.85036
52.15,8.686,16960.85036
52.25,8.7027,16966.22074
52.35,8.7195,16971.58962
52.45,8.736,16971.58962
52.55,8.7527,16971.58962
52.65,8.7695,16976.96
52.75,8.786,16976.96
52.85,8.8027,16976.96
52.95,8.8195,16971.58962
53.05,8.836,16976.96
53.15,8.8527,16971.58962
53.25,8.8694,16971.58962
53.35,8.8862,16971.58962
53.45,8.9027,16971.58962
53.55,8.9194,16966.22074
53.65,8.9362,16966.22074
53.75,8.9527,16960.85036
53.85,8.9694,16960.85036
53.95,8.9861,16955.47998
54.05,9.0026,16955.47998
54.15,9.0194,16955.47998
54.25,9.0361,16939.37927
54.35,9.0526,16885.67996
54.45,9.0694,16896.42072
54.55,9.0861,16885.67996
54.65,9.1026,16896.42072
54.75,9.1194,16907.15998
54.85,9.1361,16923.26963
54.95,9.1528,16939.37927
55.05,9.1693,16955.47998
55.15,9.1861,16971.58962
55.25,9.2028,16987.69927
